ORIGINAL_VALUE	LANGUAGE	URI	START	END
Enligt text under Pl. 151b Kinas trädgårdar Vol. I: Nedre bilden: Nanhai, Yingtai. Bro över kanalerna, som skiljer Nanhai från Zhonghai.	sv	http://www.wikidata.org/entity/Q1023893	115	121
En man poserar framför en galleriförsedd mur med stor port.	sv	http://www.wikidata.org/entity/Q8441	3	6
Bro över vattendrag. Barn tvättar stora lass med tvätt från brokanten.	sv	http://www.wikidata.org/entity/Q852100	49	54
Mur med tre portar som inhägnar en byggnad. I bakgrunden en trädgård.	sv	http://www.wikidata.org/entity/Q1107656	60	68
"1. Industrimonumentet framför Tekniska Högskolan, har högtidligen invigts. - Rådman Allan Cederborg överlämnade konstverket till staden. - Professor Carl Milles, industrimonumentets skapare. / 2. ""Solsångaren"" även den utförd av professor Carl Milles, har nu intagit sin plats i strömparterren. En bild från den svåra transporten. - ""Solsångaren"", ett monument över den stora skalden Tegnér, avtäckes i närvaro av H.M. konungen. - Anders de Wahl föredrager ""sången till solen"". / 3. Mercurii söner har fått nytt hem. Handelshögskolans ståtliga byggnad vid Sveavägen, har i närvaro av H.M. Konungen, hötidligen överlämnats till Handelshögskoledirektionen. / 4. Höstens första gångtävlan till Djursholms restaurant har avgåtts. Priserna bestod av gåsmiddagar, vilka vi hoppas de respektive segrarna med glädje och aptit avåt. - Red. T.T. i Idrottsbladet vågade inte gå ensam. - Ynglingar mellan 60 och 70 år starta. - Några bilder från den spännande gås-marchen."	sv	http://www.wikidata.org/entity/Q48548	149	160
"1. Skandalhuset vid Roslagstorg har nu äntligen definitivt skattat åt förgängelsen till gatutrafikanternas lättnad. / 2. Rullstolsmannen Herr Alfred Witt, som tillryggalagt sträckan Sthlm - Malmö - Göteborg - Sthlm i rullstol. Herr Witt slår läger efter en ansträngande dag. Efter vilan fortsätter färden. Återkomst till Stockholm / 3. Noaks ark Det nya djurhuset på Skansen har nyligen blivit färdigt att tagas i bruk. / 4. Jack Townsend, den amerikanske boxaren anländer till Stockholm för att utkämpa en match mot Karl Jonsson (Kalle Masen).  Kalle tränar.  Kalle Masen och hans tränare Arthur Ahl. Matchen slutade med svenskens nederlag på knock out i första ronden. / 5. Ett egendomligt fartyg ""Sandsugaren"" på besök i Stockholm (suger slam och sand från sjöbotten där djupet behöver ökas). / 6. Söndagen den 6 september – Svenska Motorklubbens hastighetstävlingar på Östermalms idrottsplats. / 7. 6-dagarsloppets avslutning. Cyklisternas passage genom Ljungby. Vid målet i Fittja. Sven Johansson, segrare på sista etappen och i B-klassen. Ragnar Malm vann det krävande loppet. Cyklisterna passera Skeppsbron. Ankomst till Stadion"	sv	http://www.wikidata.org/entity/Q1754	321	330
"Bild ur mapp märkt ""Sculpture, Animals, Sui - T´ang, 5"". Coll. Octave Homberg, Paris."	sv	http://www.wikidata.org/entity/Q90	79	84
Man säljer mat och kvinna bakar på marknad med matstånd i Mangshi, Yunnan, 1962.Bildtext: Marknadsliv Mangshih. Bilden publicerad i Kinesisk Resa,P.A. Norstedt & Söners Förlag, Stockholm, 1966, sid 141.	sv	http://www.wikidata.org/entity/Q1754	177	186
Gatubild. En kvinna med två matskålar i händerna på väg någonstans.	sv	http://www.wikidata.org/entity/Q467	13	19
Bildtext ur boken: Kinesisk resa: Liu Ling by Bildtext ur boken: Rapporter från kinesisk by Liu Lin 1962, 1982: Liu Lin by 1962. En antal hus byggda på en sluttning. Berg i bakgrunden. Bilden finns publicerad mellan sid 32 och 33 i boken: Rapporter från kinesisk by Liu Lin 1962, 1982, Norstedts. Samt på sidan 99 i boken Kinesisk resa, Norstedts, 1962 - Mellanformat - Svartvit - Negativ	sv	http://www.wikidata.org/entity/Q1390886	166	170
Enligt text under Pl. 29 Kinas trädgårdar Vol. I: En väldig monumentsten, placerad på en skulpterad marmorsockel framför en paviljong i trädgården vid Nya Sommarpalatset	sv	http://www.wikidata.org/entity/Q4132	155	169
"Skulptur gestaltande stående väktarlejon. Bild ur mapp märkt ""Sculpture, Animals, San kue - 6 dyn, 3"". 44-26/2 Nelson Gallery of Art."	sv	http://www.wikidata.org/entity/Q1976985	111	132
Enligt text under Pl. 184a Kinas trädgårdar Vol. I: Yuanmingyuan. Pengdao Yaotai, ”De Odödligas Öar och Gröna Terrasser”, mitt i Fuhai, ”Lycksalighetens Sjö”. Målad av Shen Yuan m. fl.	sv	http://www.wikidata.org/entity/Q907894	52	64
Enligt text under Pl. 51 Kinas trädgårdar Vol. I: En paviljong i krönet av Kolberget, Meishan, från vilket en vid utsikt öppnar sig över den Förbjudna Staden och närliggande delar av Peking.	sv	http://www.wikidata.org/entity/Q427097	86	93
1. Stockholms Frihamn / 2. Officin: A.-B. Tullbergs Film Karta över norra Europa. Pilar anger sjöfartsförbindelserna med Stockholm. Pilar strålar ut från Stockholm. Panorering av frihamnsområdet med stickspår. Bilder från vattenbassängerna. Flera båtar ligger inne. Lyftkranar längs kajerna. / 3. Kranarna lossa kaffe till magasinet Lyftkran på travers lyfter in kaffesäckar i magasin. Kameran rör sig bakom traverskran och arbetare som bär in kaffesäckarna i magasinet. / 4. Mer än Sveriges halva kaffeimport distribueras genom Stockholms Frihamn Travar med kaffesäckar inne i magasin. Arbetare kommer med sina bördor. / 5. Förtullning i magasinet Kaffesäckar lastas på vagn. Säckarna vägs. Kaffesäckarna rutschar ned i en spiralformad bana på en lastbrygga och lastas på en flakvagn. En container från Hudson Motor Cars i Detroit placeras på kajen. Lådan bryts upp och vi ser bilen inuti. Bilen lyfts med domkraft, hjulen monteras. Männen skjuter fram bilen så den glider av lådans underrede. Ett magasin fyllt med säckar och travar med gummidäck. Arbetare kommer in och börjar lasta däcken på vagnar. Däcken vägs. / 6. Från magasin III - nordens största och modernaste varumagasin Bilar i Magasin IIIs lager, flera av dem körs ut. Tomma delar av varumagasinet visas upp, taket hålls upp av stadiga pelare. / 7. Ryskt lin och amerikanskt socker i stora mängder Högar med lin och sockersäckar travas upp. / 8. Slut	sv	http://www.wikidata.org/entity/Q1754	121	130
"Bild ur mapp märkt ""Sculpture, Animals, 6 Dynasties, 4"". Okura Museum, Tokyo."	sv	http://www.wikidata.org/entity/Q1490	71	76
Enligt text i Kinas trädgårdar Vol. I av Osvald Sirén: Paviljong i parken vid Huanglongsi, Den gula drakens tempel, i Hangzhou.	sv	http://www.wikidata.org/entity/Q733791	41	53
Enligt text under Pl. 188 Kinas trädgårdar Vol. I: Yuanmingyuan. Sheweicheng. Stadsgatan, infattad av butiksbyggnader, ledande upp mot en port i bakgrunden. Målning av Tang Dai (T’ang Tai) och Shen Yuan. Bibliothèque Nationale.	sv	http://www.wikidata.org/entity/Q7313	198	202
"Bild ur mapp märkt ""Sculpture, Animals, 6 Dynasties, 4"". Coll. D. Weill, Paris."	sv	http://www.wikidata.org/entity/Q90	73	78
Trädgård med två byggnader och en plan med växter.	sv	http://www.wikidata.org/entity/Q1107656	0	8
Skulptur av en man med knutna nävar.	sv	http://www.wikidata.org/entity/Q8441	15	18
Myrdal, Eva (2004). Kina före Kina. Stockholm: Östasiatiska museet	sv	http://www.wikidata.org/entity/Q148	20	24
Enligt text under Pl. 64 Kinas trädgårdar Vol. I:En sluten paviljong, vars månport och fönster äro infattade med spröjsverk i ”sprucken is-mönster”, vid Lang Ya Si, nära Chuzhou, Anhui.	sv	http://www.wikidata.org/entity/Q40956	179	184
Besök från Kina av en delegation från Henanprovinsen. Syftet med besöket var att diskutera 100-årsminnet av J. G. Anderssons utgrävningar i Kina. På bilden syns även personal från SMVK, Michel, Annica och Isabelle.	sv	http://www.wikidata.org/entity/Q148	140	144
Besök från Kina av en delegation från Henanprovinsen. Syftet med besöket var att diskutera 100-årsminnet av J. G. Anderssons utgrävningar i Kina. På bilden syns även personal från SMVK, Michel, Annica och Isabelle.	sv	http://www.wikidata.org/entity/Q148	11	15
En liten paviljong och yppiga bananväxter på en gård, omsluten av genombrutna tegelmurar, vid Lang Ya Si, nära Chuzhou, Anhui.  Pl. 56 Kinas trädgårdar Vol. I	sv	http://www.wikidata.org/entity/Q40956	120	125
Stadsport sedd på håll och utifrån. På vägen leder människor djur fullastade med  packning.	sv	http://www.wikidata.org/entity/Q729	61	65
1.Henning Elmquist landshövding i Örebro län, har utnämnts till överståthållare i Stockholm. / 2.Några bilder från de stora översvämningarna i Alvesta, de svåraste som i mannaminne härjat i trakten - Före detta trädgårdsservering - Även Kristianstad hade det vått om fötterna, och här ser vi navigation på Stortorget - Nattgammal is omgav denna bensinstation - Gamla saluhallen var helt omfluten av vatten - En som har sitt på det torra. / 3.Karl den XII:s dödsdag har högtidlighållits på Skansen. På Orsakullen höll pikenerare vakt kring krigarkonungens byst. / 4.Prinsessan Ingeborg som är en intresserad bilist, har inköpt en ny bil. Unge prins Carl Johan deltog i den första provturen. / 5.I Riksdagshuset har hållits en propagandakonferens för arbetsfred. Direktör Edström från Västerås var förste man på valplatsen. - Lubbe Nordström var en intresserad åhörare. - Landsorganisationens ordförande hr, Thorberg. - Amiral Lindman. / 6.Stockholms Landstormstrupper hava avhållit stora propagandaövningar vid Kaknäs med närmare 1000 deltagare. Dagen började med korum - Ett fältmarketenteri - Instruktioner utdelades	sv	http://www.wikidata.org/entity/Q725108	489	496
Trädgårdsmurar i etage med trappa.	sv	http://www.wikidata.org/entity/Q12511	27	33
1. Ett säkert tecken på att sommaren snart är slut. De kungliga teatrarnas artister ha återvänt från landet och samlats för att börja en ny säsong. / 2. Sommargästerna från Barnens Ö ha nu återvänt till staden efter en härlig sommar ute i havsbandet. / 3. Rikstelefonkabeln mellan Stockholm och Gävle är nu nedlagt till Norrviken. En bild från de omfattande arbetena. / 4. Från den stora flygmanövern som nyligen avhållits i Stockholm. - Övningarna tog sin början vid Hårsfjärden. Flygarna på väg mot Stockholm. - Till Stockholms försvar hade kulsprutorna uppsatts på riksdagshuset och på Gärdet. / 5. På Velodromen avhölls söndagen den 22 augusti stora cykeltävlingar vilka hade samlat en talrik publik. / 6. Några snapshots från de populära kapplöpningarna vid Ulriksdal.	sv	http://www.wikidata.org/entity/Q1754	501	510
Leende man sitter vid ett vattendrag och tvättar trähinkar.	sv	http://www.wikidata.org/entity/Q8441	7	10
En kvinna vid ett vattendrag sysselsatt med vad som ser ut som tvätt.	sv	http://www.wikidata.org/entity/Q852100	63	68
Man spinnande med sländtrissa	sv	http://www.wikidata.org/entity/Q8441	0	3
En byggnad sedd från sidan med många dörrar, alla är stängda. En liten trappa leder upp till byggnaden.	sv	http://www.wikidata.org/entity/Q12511	71	77
I oktober 1937 bevittnade Andersson bombningarna av Shanghai från sitt hotellfönster på Park Hotel inne i staden. Här har en eldsvåda brutit ut efter ett bombnedslag. (Romgard 2018:356)	sv	http://www.wikidata.org/entity/Q8686	52	60
17 oktober anlände det svenska följet till Kina. De första två veckorna ägnades åt Peking med omgivningar. Med stor energi och entusiasm besökte sällskapet Förbjudna staden, museer och antikaffärer. Det gjordes flera bilutflykter till intressanta platser i Pekings närhet som Sommarpalatset och Minggravarna. I november gick resan söderut, mot Shanxi-provinsen där kronprinsparet fick möjlighet att delta i pågående utgrävningar av förhistoriska boplatser. Kronprinsessan Louise gjorde ett fynd i form av en tripod. (Kungens gåva)	sv	http://www.wikidata.org/entity/Q80290	156	172
Enligt text under Pl. 189b Kinas trädgårdar  Vol. I: Yuanmingyuan. Yangqiaolong, ”Rum för uppfödande av fåglar”, d. v. s. volièren. Bild efter fotografi 1922.	sv	http://www.wikidata.org/entity/Q907894	53	65
Trädgård med stenformationer. I bakgrunden en hög trädgårdsmur. En pojke poserar på bilden.	sv	http://www.wikidata.org/entity/Q1107656	0	8
"Bodhisattva, stående. Bild ur mapp märkt ""Sculpture 30, China, Bodhisattva standing, SUI""."	sv	http://www.wikidata.org/entity/Q178149	0	11
Bildtext ur boken: Kinesisk resa: Liu Ling by Bildtext ur boken: Rapporter från kinesisk by Liu Lin 1962, 1982: Liu Lin by 1962. En antal hus byggda på en sluttning. Berg i bakgrunden. Bilden finns publicerad mellan sid 32 och 33 i boken: Rapporter från kinesisk by Liu Lin 1962, 1982, Norstedts. Samt på sidan 99 i boken Kinesisk resa, Norstedts, 1962 - Mellanformat - Svartvit - Negativ	sv	http://www.wikidata.org/entity/Q61509	28	32
Tiantan, Himmelens tempel. Trappa som leder till en dörröppning genom vilken man ser Himmelens tempel.	sv	http://www.wikidata.org/entity/Q12511	27	33
Enligt text i Kinas trädgårdar Vol. I av Osvald Sirén: En liten paviljong, bekrönande ett klipparti på en holme i den moderna klosterträdgården vid Huanglongsi, nära Hangzhou.	sv	http://www.wikidata.org/entity/Q733791	41	53
"Osvald Sirén sittandes i en stol i en trädgård. Publicerad s. 4 i ""I Kinas trädgårdar""."	sv	http://www.wikidata.org/entity/Q733791	0	12
En samling vuxna och barn som poserar för kameran. Med på bild även ett litet får.	sv	http://www.wikidata.org/entity/Q7569	21	25
Fält med låga stenformationer.	sv	http://www.wikidata.org/entity/Q235544	9	13
Enligt föremålsetikett: Wooden Buddhistic figure. Chinese Tang och Song Dynasty 618 -1280 AD. From the Temple of Tianlongsi, Tsch Chow Fu,(Jincheng) Shanxi	sv	http://www.wikidata.org/entity/Q46913	149	155
Qiniantian, ”Templet för årets bön” vid himmelsaltaret i Beijing.	sv	http://www.wikidata.org/entity/Q956	57	64
Hsin Tien gravfältet. A. skelett 17 med Chang. S. 23.	sv	http://www.wikidata.org/entity/Q7610431	40	45
1. Nya motorpedbåten nr.4, som nyligen  anlänt till Stockholm från England. / 2. Konstföreningen har öppnat en uppmärksammad utställning i Liljewalchs konsthall. / 3. Stockholms konserthus  - Sådant det ter sig, sedan de yttre arbetena avslutats. / 4. De Blindas dag / 5. Velodromen vid Hornsberg (tävlingar) / 6. Stockholms Skytteförbund	sv	http://www.wikidata.org/entity/Q1754	52	61
Nature´s forces exposing China´s prehistory: The weather eroding loess ravines near Yangshao village at the time of Andersson´s first excavations in the fall of 1921. (Fiskesjö 2004)	sv	http://www.wikidata.org/entity/Q148	25	30
Enligt text på fotokuvert: Nanhai. Paviljong och i bakgrunden ett galleri.	sv	http://www.wikidata.org/entity/Q1023893	27	33
Enligt text under Pl. 124 Kinas trädgårdar Vol. I: Suzhou. Gu Yuan eller Yi Yuan. Parti av trädgården med bostadskvarter i bakgrunden.	sv	http://www.wikidata.org/entity/Q42622	51	57
Tempelinteriör med altare.	sv	http://www.wikidata.org/entity/Q101687	19	25
Barn och ungdomar, Thaibyn Fengping, 1962. Bilden publicerad i A. Norstedt & Söners Förlag, Stockholm, 1966, sid 141.	sv	http://www.wikidata.org/entity/Q1754	92	101
Enligt text under pl. 18 Kinas trädgårdar Vol. I: ’Vägmotiv med sick-sack-bro i Zhuozhengyuan(Cho Chêng Yüan), Suzhou.	sv	http://www.wikidata.org/entity/Q42622	111	117
Pelarlik skulptur i trädgård.	sv	http://www.wikidata.org/entity/Q1107656	20	28
Enligt text i Kinas trädgårdar Vol. I av Osvald Sirén: Marmorbro i Jingxinzhai, De Rena Tankarnas studio, i Beihai, Beijing.	sv	http://www.wikidata.org/entity/Q733791	41	53
From left: The Chinese geologist and paleontologist Yuan Fuli, Johan Gunnar Andersson, the Yuangshao village chief Mr. Wang and a Chinese preacher, Mr. Wang, posing together for a photo at the village of Yangshao in 1921, at the time of the first excavation. (Fiskesjö 2004)	sv	http://www.wikidata.org/entity/Q11573145	152	156
Nature´s forces exposing China´s prehistory: The weather eroding loess ravines near Yangshao village at the time of Andersson´s first excavations in the fall of 1921. (Fiskesjö 2004)	sv	http://www.wikidata.org/entity/Q854631	84	92
Parad av något slag. Barn på rad som viftar med plymer.	sv	http://www.wikidata.org/entity/Q7569	21	25
Enligt text i Kinas trädgårdar Vol. I av Osvald Sirén: En trappstig genom bambuskogen, ledande upp till Ling Ying Si vid Hangzhou.	sv	http://www.wikidata.org/entity/Q4970	121	129
Två barn i en mörk portingång i Luoyang, 1962.	sv	http://www.wikidata.org/entity/Q187136	32	39
"Bild ur mapp märkt ""Sculpture, Animals, 6 Dynasties, 4"". University Museum, Philadelphia."	sv	http://www.wikidata.org/entity/Q1345	76	88
Del av trädgård med stenformationer och en tall.	sv	http://www.wikidata.org/entity/Q1107656	7	15
Bildtext: Barn Två barn (ca 3-5 år gamla) sitter vid bord innomhus och äter ur var sin skål. Bilden finns publicerad på sidan 113 i boken: Kinesisk resa, Norstedts,1965. Mellanformat Svartvit	sv	http://www.wikidata.org/entity/Q7569	10	14
Folksamling utanför Himmelska fridens port, Beijing, under första majparaden, 1962.	sv	http://www.wikidata.org/entity/Q956	44	51
Liulin by på lössplatån i fågelperspektiv med grotthusen tydligt synliga, 1962. Bildtext: Liu Lin by 1962. Publicerad i Jan Myrdal, Rapporter från kinesisk by Liu Lin 1962-1982, Norstedts, 1985, bildsidorna mellan s. 32 och 33.	sv	http://www.wikidata.org/entity/Q1398697	120	130
En  åsna. En pojke sitter bredvid.	sv	http://www.wikidata.org/entity/Q3010	13	18
En byggnad med många dörrar, alla är stängda. En liten trappa på vardera sida leder upp till en staketomgärdad terrass framför byggnaden.	sv	http://www.wikidata.org/entity/Q12511	55	61
Enligt text i Kinas trädgårdar Vol. I av Osvald Sirén: En muromsluten liten trädgård med blommande lotus vid Nya sommarpalatset.	sv	http://www.wikidata.org/entity/Q4132	113	127
Vy in genom stadsport till torget innanför. Det är mycket folk i rörelse. En häst med fullastad kärra och en man drar en riksha.	sv	http://www.wikidata.org/entity/Q182634	121	127
Marknadsdag på gata i Mangshi, Yunnan, 1962.	sv	http://www.wikidata.org/entity/Q43194	31	37
Unga pionjärer på besök i nya stadsparken, Hohhot, Inre Mongoliet, 1962. Bildtext: Unga pionjärer på besök i nya stadsparken, Huhehot. Bilden publicerad i Kinesisk Resa,P.A. Norstedt & Söners Förlag, Stockholm, 1966, sid 45.	sv	http://www.wikidata.org/entity/Q61509	164	168
Trädgårdspaviljong bland stenformationer. Gushiyuan, Suzhou	sv	http://www.wikidata.org/entity/Q42622	53	59
"Bild ur mapp med sittande Buddha, märkt ""Sculpture 22 China Buddha Seated N.Wei W.Wei E.Wei""."	sv	http://www.wikidata.org/entity/Q7055	26	32
Två barn (ca 3-5 år gamla) sitter vid bord inomhus och äter ur varsin skål, Liulin, 1962. Bildtext: Barn. Bilden finns publicerad i Jan Myrdal och Gun Kessle, Kinesisk resa, Norstedts, 1965, s. 113. Även som omslagsbild på den franska utgåvan av Rapport från Kinesisk by. Se: Jan Myrdal, Un village de la Chine populaire/trad.du suédois par C.G. Bjurström et André Mathieu; photos de Gun Kessle, Gallimard, 1964.	sv	http://www.wikidata.org/entity/Q61509	168	172
1.Henning Elmquist landshövding i Örebro län, har utnämnts till överståthållare i Stockholm. / 2.Några bilder från de stora översvämningarna i Alvesta, de svåraste som i mannaminne härjat i trakten - Före detta trädgårdsservering - Även Kristianstad hade det vått om fötterna, och här ser vi navigation på Stortorget - Nattgammal is omgav denna bensinstation - Gamla saluhallen var helt omfluten av vatten - En som har sitt på det torra. / 3.Karl den XII:s dödsdag har högtidlighållits på Skansen. På Orsakullen höll pikenerare vakt kring krigarkonungens byst. / 4.Prinsessan Ingeborg som är en intresserad bilist, har inköpt en ny bil. Unge prins Carl Johan deltog i den första provturen. / 5.I Riksdagshuset har hållits en propagandakonferens för arbetsfred. Direktör Edström från Västerås var förste man på valplatsen. - Lubbe Nordström var en intresserad åhörare. - Landsorganisationens ordförande hr, Thorberg. - Amiral Lindman. / 6.Stockholms Landstormstrupper hava avhållit stora propagandaövningar vid Kaknäs med närmare 1000 deltagare. Dagen började med korum - Ett fältmarketenteri - Instruktioner utdelades	sv	http://www.wikidata.org/entity/Q26937	237	249
En västerländsk kvinna poserar framför kameran i en kinesisk trädgård.	sv	http://www.wikidata.org/entity/Q467	16	22
En man i kostym pekande på någon ting. Bredvid honom en kvinna men solens strålar genom grönskan gör att hon försvinner en del i bilden.	sv	http://www.wikidata.org/entity/Q467	56	62
Enligt text under Pl. 141 Kinas trädgårdar Vol. I: Ett hörn av Li Ch’in Wangs (Li Qinwang)  trädgård i Hai Tien (Haidian) nära Peking	sv	http://www.wikidata.org/entity/Q1107656	92	100
Två unga män och en åsna.	sv	http://www.wikidata.org/entity/Q19707	20	24
"Bild ur mapp märkt ""Sculpture, Head of Buddha, Tang 3""."	sv	http://www.wikidata.org/entity/Q7055	39	45
Enligt text på fotokuvert: Altar of Earth. Ditan.	sv	http://www.wikidata.org/entity/Q2	36	41
Enligt text under Pl. 47 Kinas trädgårdar Vol. I: Trumpetträd (Catalpa Bungei) framför en paviljong i Beihai, Peking.	sv	http://www.wikidata.org/entity/Q133650	102	108
Kronprinsparet (Gustaf Adolf och Louise), Johan Gunnar Andersson, Axel Lagrelius, Erik Nyström, m.fl., Taiyuanfu (med dedikation av Erik Nyström, november 1926 (Kungens gåva)	sv	http://www.wikidata.org/entity/Q954811	42	64
1. Dagens Nyheters stadslöpning har nu gått av stapeln på Kristi Himmelsfärdsdag under stor anslutning från såväl deltagare som publik. I.F. Linneas lag segrade med en tid av 50 min. 9 sek. - Starten från Stadion. - Passerar Norrbro (Wide, Linnea, Eklöf). - Wide under loppet. / 2. Stockholms frivilliga sjukvårdstrupper har firat sitt 25-års jubileum med en fest på Skansen. - Prins Carl förrättar utdelningen av minnesmedaljerna. / 3. M.C.K. Speeds backtävlingar i Bromsten äro alltid livligt uppskattade. Nyligen har man haft en vårtävling i den svåra backen. / [4]. Stockholms roddförening invigde på Kristi Himmelsfärdsdag sin 46 säsong med den traditionella progagandarodden uppför Strömmen. / [5]. Den som styr sina steg till Roslagstull får nu bevittna huro det rustas och arbetas för den kommande segelsäsongen. / [6]. Svenska Sportfiskareförbundet har firat våren med tävlingar och fiske vid det vackra Älfkarleö	sv	http://www.wikidata.org/entity/Q725108	367	374
Gatubild med många människor och vagnar samt flera uniformklädda personer som bär en stor övertäckt bärstol.	sv	http://www.wikidata.org/entity/Q476850	100	107
Bro i solsken i Mangshi, Yunnan, 1962. Bilden publicerad i Kinesisk Resa, P.A. Norstedt & Söners Förlag, Stockholm, 1966, sid 147.	sv	http://www.wikidata.org/entity/Q1754	105	114
Enligt text i Kinas trädgårdar Vol. I av Osvald Sirén: Beihai. Xiaokunjiu, Den lilla kiosken på Kunlun berget.	sv	http://www.wikidata.org/entity/Q733791	41	53
Enligt text under Pl. 20b Kinas trädgårdar Vol. I: Strandparti vi Nanhai, Peking	sv	http://www.wikidata.org/entity/Q1023893	66	72
Kvinna bär litet barn på gata i Mangshi, Yunnan, 1962..	sv	http://www.wikidata.org/entity/Q7569	17	21
Enligt text i Kinas trädgårdar Vol. I av Osvald Sirén: De stora stenarna i Shizilin, som liknar sittande lejon. Fotografi av år 1918, då trädgården var under ombyggnad.	sv	http://www.wikidata.org/entity/Q140	105	110
"Bodhisattva, stående. Bild ur mapp märkt ""Sculpture 29, China, Bodhisattva standing, SUI""."	sv	http://www.wikidata.org/entity/Q148	56	61
Tre män och en ung kvinna sittandes på en bänk. Framför dem en pojke.	sv	http://www.wikidata.org/entity/Q3010	63	68
Järngrytorna, i vilka offren brändes efter ceremoniers slut samt, i bakgrunden, ugnen, där hela djur stektes.	sv	http://www.wikidata.org/entity/Q729	96	100
Man i långt förkläde som kokar något.	sv	http://www.wikidata.org/entity/Q8441	0	3
Kvinna bär ok med fyllda korgar uppför en sluttande väg i Liulin 1962. Bildext: Kvinna bär meloner (eg. pumpor) i två korgar på bärstång uppför en sluttande väg. Bilden finns publicerad i Jan Myrdal och Gun Kessle, Kinesisk resa, Norstedts, 1983, s.116. Även publicerad i Gun Kessle, Kvinnoliv i kinesisk by, Norstedts, 1983, s. 66.	sv	http://www.wikidata.org/entity/Q506131	128	136
En vägg full med små nischer med Buddha och Bodhisattva.	sv	http://www.wikidata.org/entity/Q7055	33	39
1. Avrustningens konsekvenser Den för så många Stockholmare välkända Gustaf Adolfs- kyrkan på Svea Livgardes område har man ej längre råd att underhålla, varför den måste säljas. / 2. Ivan Bratt Stockholmssystemets skapare, avgår med detta års utgång från sin post som det stora företagets chef. / 3. Ernst Rolf har anlänt till huvudstaden med sitt garde av sköna och skickliga artister. Här se vi några bilder av sällskapet församlat utanför högkvarteret på Djurgården. - Fagstad, känd och uppskattad sedan gammalt av Stockholmspubliken. - Rolf med sin fötjusande fästmö Tutta Bernsten. / 4. Gymnastiska centralinstitutet i Stockholm har avslutat vårterminen med en gymnastikuppvisning i närvaro av konungen.	sv	http://www.wikidata.org/entity/Q1359986	541	545
17 oktober anlände det svenska följet till Kina. De första två veckorna ägnades åt Peking med omgivningar. Med stor energi och entusiasm besökte sällskapet Förbjudna staden, museer och antikaffärer. Det gjordes flera bilutflykter till intressanta platser i Pekings närhet som Sommarpalatset och Minggravarna. I november gick resan söderut, mot Shanxi-provinsen där kronprinsparet fick möjlighet att delta i pågående utgrävningar av förhistoriska boplatser. Kronprinsessan Louise gjorde ett fynd i form av en tripod. (Kungens gåva)	sv	http://www.wikidata.org/entity/Q4132	276	290
Ett gäng med 5-6 pojkar springer i en park, Kunming, 1962. Bilder på samma pojkar finns publicerade i Jan Myrdal och Gun Kessle, Kinesisk resa, Norstedts, Stockholm, 1966, sid 128.	sv	http://www.wikidata.org/entity/Q1398697	102	112
